movie,genre,synopsis,year,rate,duration,votes,popularity
Pearl Harbor,Action|Drama|Historyy,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,2001,6.1,183,262093,314.0
MalЏna,Comedy|Drama|Romance,A woman provokes sensual awakenings in a group of adolescent boys.,2000,7.5,109,68675,1623.0
Road Trip,Adventure|Comedy,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,2000,6.5,93,136119,1812.0
Enemy at the Gates,Drama|Historyy|War,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,2001,7.6,131,195763,1228.0
The Taste of Others,Comedy|Drama|Romance,"Three men, three women, opposites, possibilities, and tastes. Castella owns a industrial steel barrel plant in Rouen; Bruno is his flute-playing driver, Franck is his temporary bodyguard ... See full summary И",2000,7.3,112,7932,
Gangs of New York,Crime|Drama,"In 1863, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",2002,7.5,167,324867,267.0
Unbreakable,Drama|Mystery|Sci-Fi,A man learns something extraordinary about himself after a devastating accident.,2000,7.2,106,251457,184.0
Original Sin,Drama|Mystery|Romance,"A woman along with her lover, plan to con a rich man by marrying him and on earning his trust running away with all his money. Everything goes as planned until she actually begins to fall in love with him.",2001,6.0,116,45973,2280.0
The Family Man,Comedy|Drama|Fantasy,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",2000,6.7,125,88458,2103.0
The Gift,Drama|Fantasy|Horror,A woman with extrasensory perception is asked to help find a young woman who has disappeared.,2000,6.7,111,53408,2608.0
Blow,Biography|Crime|Drama,"The story of George Jung, the man who established the American cocaine market in the 1970s.",2001,7.6,124,203294,941.0
Atlantis: The Lost Empire,Animation|Action|Adventure,A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,2001,6.8,95,75722,1955.0
Bedazzled,Comedy|Fantasy,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",2000,6.0,93,83644,2636.0
The Others,Horror|Mystery|Thriller,A woman who lives in a darkened old house with her two photosensitive children becomes convinced that her family home is haunted.,2001,7.6,104,277145,1843.0
The Fast and the Furious,Action|Crime|Thriller,Los Angeles police officer Brian O'Connor must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,2001,6.7,106,280110,701.0
The Matrix Reloaded,Action|Sci-Fi,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams.",2003,7.2,138,432102,1062.0
